,Textbook,Score,Author,Field
117,HS_Hyde_11_Transgender_v2.docx,0.057799274,Hyde,HS
118,HS_Hyde_12_Transgender_v2.docx,0.017554502,Hyde,HS
119,HS_Hyde_13_Transgender.docx,0.060094759,Hyde,HS
120,HS_LeVay_01_Transgender.docx,0.082862007,LeVay,HS
121,HS_LeVay_02_Transgender.docx,0.059017927,LeVay,HS
122,HS_LeVay_03_Transgender.docx,0.056798964,LeVay,HS
123,HS_Yarber_07_Transgender.docx,0.044003648,Yarber,HS
124,HS_Yarber_08_Transgender.docx,0.051635112,Yarber,HS
125,HS_Yarber_09_Transgender.docx,0.060419294,Yarber,HS
126,Intro_Bernstein_06_Transgender.docx,0.034482759,Bernstein,Intro
127,Intro_Bernstein_07_Transgender_v2.docx,0.022740034,Bernstein,Intro
128,Intro_Bernstein_08_Transgender.docx,0.038764045,Bernstein,Intro
129,Intro_Bernstein_09_Transgender_v2.docx,0.059556226,Bernstein,Intro
130,Intro_Bernstein_10_Transgender.docx,0.03814448,Bernstein,Intro
131,Intro_Coon_10_Transgender_v2.docx,0.061103059,Coon,Intro
132,Intro_Coon_11_Transgender.docx,0.067039106,Coon,Intro
133,Intro_Coon_12_Transgender_v2.docx,0.080224242,Coon,Intro
134,Intro_Coon_13_Transgender_v2.docx,0.090390129,Coon,Intro
135,Intro_Coon_14_Transgender.docx,0.032907692,Coon,Intro
136,Intro_Griggs_01_Transgender.docx,0.0,Griggs,Intro
137,Intro_Griggs_04_Transgender.docx,-0.010162602,Griggs,Intro
138,Intro_Griggs_05_Transgender.docx,0.078209277,Griggs,Intro
139,Intro_Kalat_08_Transgender.docx,0.084745763,Kalat,Intro
140,Intro_Kalat_11_Transgender.docx,0.091320072,Kalat,Intro
141,Intro_Morris_07_Transgender_v2.docx,0.086892489,Morris,Intro
142,Intro_Morris_09_Transgender.docx,0.034968979,Morris,Intro
143,Intro_Morris_10_Transgender.docx,0.031187123,Morris,Intro
144,Intro_Morris_11_Transgender.docx,0.025812138,Morris,Intro
145,Intro_Myers_07_Transgender.docx,0.040816327,Myers,Intro
146,Intro_Myers_08_Transgender.docx,0.041088766,Myers,Intro
147,Intro_Myers_09_Transgender.docx,0.050653595,Myers,Intro
148,Intro_Myers_10_Transgender.docx,0.044860234,Myers,Intro
149,Intro_Myers_11_Transgender.docx,0.061932897,Myers,Intro
150,Intro_Nevid_01_Transgender.docx,0.070859167,Nevid,Intro
151,Intro_Nevid_02_Transgender_v2.docx,0.077366255,Nevid,Intro
152,Intro_Nevid_03_Transgender_v2.docx,0.077065924,Nevid,Intro
153,Intro_Nevid_04_Transgender.docx,0.151282051,Nevid,Intro
154,Intro_Nevid_05_Transgender.docx,0.075435614,Nevid,Intro
155,Intro_Rathus_01_Transgender.docx,0.094736842,Rathus,Intro
156,Intro_Rathus_02_Transgender.docx,0.034274194,Rathus,Intro
157,Intro_Rathus_03_Transgender.docx,-0.027777778,Rathus,Intro
158,Intro_Rathus_04_Transgender.docx,0.119565217,Rathus,Intro
159,Intro_Rathus_05_Transgender.docx,0.074276779,Rathus,Intro
160,Intro_Wade_08_Transgender_v2.docx,0.079698252,Wade,Intro
161,Intro_Wade_09_Transgender.docx,0.11588785,Wade,Intro
162,Intro_Wade_11_Transgender_v2.docx,0.05511811,Wade,Intro
163,Intro_Wade_12_Transgender.docx,0.059854896,Wade,Intro
164,Intro_Weiten_07_Transgender.docx,0.049450199,Weiten,Intro
165,Intro_Weiten_08_Transgender_v2.docx,-0.079439252,Weiten,Intro
166,Intro_Weiten_09_Transgender_v2.docx,-0.007407407,Weiten,Intro
167,Intro_Weiten_10_Transgender.docx,0.069185429,Weiten,Intro
168,Neuro_Bear_03_Transgender.docx,0.046511628,Bear,Neuro
169,Neuro_Bear_04_Transgender.docx,0.079959514,Bear,Neuro
170,Neuro_Breedlove_05_Transgender.docx,-0.008510638,Breedlove,Neuro
171,Neuro_Breedlove_06_Transgender.docx,-0.012820513,Breedlove,Neuro
172,Neuro_Breedlove_07_Transgender.docx,0.1,Breedlove,Neuro
173,Neuro_Breedlove_08_Transgender.docx,0.013850416,Breedlove,Neuro
174,Neuro_Carlson_09_Transgender.docx,0.03125,Carlson,Neuro
175,Neuro_Carlson_10_Transgender_v2.docx,0.041832669,Carlson,Neuro
176,Neuro_Carlson_11_Transgender_v2.docx,0.023373984,Carlson,Neuro
